Team,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,xG,xGA,Poss,KP,1/3,PPA,CrsPA,Prog,Att 3rd,Att Pen,SCA,TB,Season,Points,Points per match
Arsenal,15.785714285714285,5.5,15.85,0.5,0.07142857142857142,0.07142857142857142,2.357142857142857,0.7857142857142857,1.8500000000000003,0.8428571428571427,57.78571428571429,11.714285714285715,41.92857142857143,11.071428571428573,1.7857142857142858,33.42857142857143,194.0,32.57142857142857,27.857142857142854,1.1428571428571428,2022,37,2.642857142857143
Manchester City,17.428571428571427,6.0,17.057142857142857,0.42857142857142855,0.21428571428571427,0.21428571428571427,2.8571428571428568,1.0,1.9714285714285715,0.8142857142857143,66.14285714285714,13.928571428571427,50.5,14.357142857142858,2.7142857142857144,39.714285714285715,233.5,36.5,32.285714285714285,2.357142857142857,2022,32,2.2857142857142856
Newcastle United,14.4,4.933333333333334,16.24,0.4666666666666667,0.13333333333333333,0.13333333333333333,1.9333333333333331,0.7333333333333333,1.6266666666666665,0.9666666666666668,50.66666666666666,11.133333333333333,28.13333333333333,10.666666666666666,2.2666666666666666,29.4,166.2,28.86666666666667,25.53333333333333,2.0,2022,30,2.0
Tottenham Hotspur,14.533333333333333,5.466666666666668,16.113333333333333,0.26666666666666666,0.13333333333333333,0.2,2.066666666666667,1.4,1.606666666666667,1.0933333333333333,50.53333333333333,11.2,31.0,9.133333333333333,2.8666666666666667,29.66666666666667,145.46666666666667,24.13333333333333,26.2,1.1333333333333333,2022,29,1.9333333333333331
Manchester United,13.714285714285715,5.0,18.7,0.5,0.07142857142857142,0.07142857142857142,1.4285714285714286,1.4285714285714286,1.3285714285714287,1.2285714285714284,52.0,11.285714285714285,31.07142857142857,8.785714285714286,1.7857142857142858,26.42857142857143,160.5,23.0,24.642857142857146,2.5,2022,26,1.8571428571428568
Liverpool,17.142857142857142,6.2142857142857135,15.492857142857144,0.07142857142857142,0.0,0.0,2.0,1.2142857142857142,1.7285714285714284,1.3928571428571428,62.07142857142857,13.214285714285715,45.57142857142857,12.571428571428573,2.571428571428572,40.142857142857146,189.92857142857144,34.785714285714285,29.714285714285715,2.2142857142857144,2022,22,1.5714285714285714
Brighton and Hove Albion,13.714285714285715,4.928571428571429,16.749999999999996,0.35714285714285715,0.21428571428571427,0.21428571428571427,1.6428571428571428,1.3571428571428572,1.5285714285714285,1.1357142857142857,55.42857142857143,10.857142857142858,36.785714285714285,10.142857142857142,2.2857142857142856,30.714285714285715,178.35714285714286,26.42857142857143,24.142857142857146,2.071428571428572,2022,21,1.5
Chelsea,11.0,3.7142857142857135,16.878571428571426,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.2142857142857142,1.2142857142857142,1.1214285714285717,1.385714285714286,58.07142857142857,8.857142857142858,37.0,9.142857142857142,2.071428571428572,29.285714285714285,180.35714285714286,23.92857142857143,20.214285714285715,1.4285714285714286,2022,21,1.5
Fulham,11.8,3.933333333333333,16.66,0.4,0.26666666666666666,0.3333333333333333,1.6,1.7333333333333334,1.313333333333333,1.8133333333333328,45.73333333333333,8.866666666666667,24.53333333333333,7.2666666666666675,2.4,21.0,131.53333333333333,19.866666666666667,21.266666666666666,0.4666666666666667,2022,19,1.2666666666666666
Brentford,10.133333333333333,3.8666666666666663,15.98666666666667,0.3333333333333333,0.26666666666666666,0.26666666666666666,1.5333333333333334,1.6666666666666667,1.3666666666666667,1.36,44.66666666666666,7.2666666666666675,24.266666666666666,7.066666666666666,1.9333333333333331,20.133333333333333,124.6,20.4,17.8,1.2666666666666666,2022,19,1.2666666666666666
Crystal Palace,10.857142857142858,3.7142857142857135,18.22142857142857,0.6428571428571429,0.0,0.14285714285714285,1.0714285714285714,1.2857142857142858,1.0,1.3071428571428574,47.78571428571429,8.571428571428571,25.92857142857143,5.357142857142857,0.7857142857142857,21.928571428571423,122.64285714285714,18.642857142857142,19.857142857142858,0.6428571428571429,2022,19,1.3571428571428572
Aston Villa,10.8,3.733333333333333,18.773333333333333,0.4,0.13333333333333333,0.13333333333333333,1.0666666666666669,1.4666666666666666,1.1866666666666668,1.2866666666666668,47.53333333333333,7.6,27.66666666666667,6.4,2.066666666666667,23.13333333333333,128.0,17.933333333333334,18.8,1.2,2022,18,1.2
Leicester City,11.133333333333333,4.333333333333333,18.15333333333333,0.4,0.06666666666666668,0.13333333333333333,1.6666666666666667,1.6666666666666667,1.1733333333333331,1.4733333333333332,50.53333333333333,8.866666666666667,35.266666666666666,6.866666666666666,1.4666666666666666,27.33333333333333,129.66666666666666,17.666666666666668,20.0,1.5333333333333334,2022,17,1.1333333333333333
